[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1363894138.828000 3/21/2013, 7:28:58 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, C2-121
INFO, WEIGHT, 30.420
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, no eico
INFO, SEQUENCE FILE: StdDC_Mag_long_matched.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1363906449.312,,1.000000e+003,8.006118e+000,9.324579e-003,1.975772e-006,3,9.940035e-001,2.118886e-002,,,,,,,,,,,,,,24,3,4.000000e+000,4.423141e-003,0.000000e+000,0,,0,
1363906591.953,,1.000000e+003,7.003129e+000,1.051360e-002,1.357266e-006,3,9.940429e-001,1.290961e-002,,,,,,,,,,,,,,24,3,4.000000e+000,3.384113e-003,0.000000e+000,0,,0,
1363906740.328,,1.000000e+003,6.000540e+000,1.202483e-002,3.536443e-006,3,9.940372e-001,2.940951e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.977921e-003,0.000000e+000,0,,0,
1363906886.828,,1.000000e+003,5.498853e+000,1.296664e-002,4.618279e-006,3,9.940922e-001,3.561663e-002,,,,,,,,,,,,,,24,3,4.000000e+000,2.983093e-003,0.000000e+000,0,,0,
1363907026.703,,1.000000e+003,5.007149e+000,1.401305e-002,1.338848e-005,3,9.941081e-001,9.554295e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.315117e-002,0.000000e+000,0,,0,
1363909247.578,,1.000000e+003,4.509292e+000,1.536308e-002,7.011473e-006,3,9.940898e-001,4.563845e-002,,,,,,,,,,,,,,24,3,4.000000e+000,8.966923e-003,0.000000e+000,0,,0,
1363909413.859,,1.000000e+003,3.998874e+000,1.699060e-002,6.269138e-006,3,9.940276e-001,3.689769e-002,,,,,,,,,,,,,,24,3,4.000000e+000,5.049706e-004,0.000000e+000,0,,0,
1363909565.203,,1.000000e+003,3.498574e+000,1.885052e-002,1.384494e-006,3,9.940166e-001,7.344592e-003,,,,,,,,,,,,,,24,3,4.000000e+000,5.328655e-004,0.000000e+000,0,,0,
1363909714.796,,1.000000e+003,3.008317e+000,2.113361e-002,1.818290e-005,3,9.939849e-001,8.603782e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.011705e-002,0.000000e+000,0,,0,
1363911897.312,,1.000000e+003,2.501592e+000,2.408259e-002,8.698690e-005,3,9.933469e-001,3.612024e-001,,,,,,,,,,,,,,24,3,4.000000e+000,2.805948e-003,0.000000e+000,0,,0,
1363912299.437,,1.000000e+003,2.000220e+000,2.781807e-002,1.357150e-004,3,9.937770e-001,4.878663e-001,,,,,,,,,,,,,,24,3,4.000000e+000,5.892038e-003,0.000000e+000,0,,0,
