[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1357729182.234000 1/9/2013, 10:59:42 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, C2-107
INFO, WEIGHT, 21.240
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, JPSW, gel cap, with tape, no eico
INFO, SEQUENCE FILE: StdDC_Mag_short_matched.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1357739821.125,,1.000000e+003,2.199474e+001,3.099585e-003,6.481772e-007,3,9.901423e-001,2.091174e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.231003e-002,0.000000e+000,0,,0,
1357740061.984,,1.000000e+003,1.999850e+001,3.458407e-003,4.178478e-007,3,9.902337e-001,1.208209e-002,,,,,,,,,,,,,,24,3,4.000000e+000,6.299973e-003,0.000000e+000,0,,0,
1357740293.234,,1.000000e+003,1.800034e+001,3.906379e-003,2.811168e-007,3,9.903094e-001,7.196352e-003,,,,,,,,,,,,,,24,3,4.000000e+000,3.841400e-003,0.000000e+000,0,,0,
1357740519.234,,1.000000e+003,1.600060e+001,4.478626e-003,1.475364e-007,3,9.903707e-001,3.294233e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.089470e-003,0.000000e+000,0,,0,
1357740720.984,,1.000000e+003,1.399957e+001,5.226976e-003,6.040628e-007,3,9.905010e-001,1.155664e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.680374e-003,0.000000e+000,0,,0,
1357740875.250,,1.000000e+003,1.300218e+001,5.689462e-003,1.931463e-006,3,9.905374e-001,3.394807e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.146984e-002,0.000000e+000,0,,0,
1357741026.625,,1.000000e+003,1.200013e+001,6.233646e-003,1.359366e-006,3,9.906306e-001,2.180692e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.156998e-002,0.000000e+000,0,,0,
1357741188.734,,1.000000e+003,1.100844e+001,6.871488e-003,4.681637e-005,3,9.899712e-001,6.813134e-001,,,,,,,,,,,,,,24,3,4.000000e+000,1.045990e-002,0.000000e+000,0,,0,
1357741334.718,,1.000000e+003,1.000782e+001,7.695116e-003,5.948979e-006,3,9.907544e-001,7.730851e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.880741e-002,0.000000e+000,0,,0,
1357741492.703,,1.000000e+003,9.004063e+000,8.686017e-003,4.693253e-006,3,9.908226e-001,5.403228e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.582336e-002,0.000000e+000,0,,0,
