[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1357815014.203000 1/10/2013, 10:50:14 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67

INFO, NAME, C2-105
INFO, WEIGHT, 30.510
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, JPSW, gel cap, with tape, no eico
INFO, SEQUENCE FILE: StdDC_Mag_short_matched.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1357827516.031,,1.000000e+003,7.999321e+000,1.020310e-002,4.151448e-006,3,9.945498e-001,4.068809e-002,,,,,,,,,,,,,,24,3,4.000000e+000,5.676270e-003,0.000000e+000,0,,0,
1357827665.000,,1.000000e+003,7.010036e+000,1.138407e-002,9.867194e-006,3,9.945397e-001,8.667548e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.393318e-002,0.000000e+000,0,,0,
1357827814.625,,1.000000e+003,6.007985e+000,1.282147e-002,2.946068e-006,3,9.945830e-001,2.297762e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.600075e-002,0.000000e+000,0,,0,
1357827952.937,,1.000000e+003,5.501166e+000,1.367331e-002,4.245729e-006,3,9.946175e-001,3.105122e-002,,,,,,,,,,,,,,24,3,4.000000e+000,7.606983e-003,0.000000e+000,0,,0,
1357828094.015,,1.000000e+003,4.998658e+000,1.458364e-002,7.509214e-006,3,9.946399e-001,5.149066e-002,,,,,,,,,,,,,,24,3,4.000000e+000,2.587318e-003,0.000000e+000,0,,0,
1357828362.500,,1.000000e+003,4.498279e+000,1.560181e-002,1.966570e-005,3,9.933648e-001,1.260476e-001,,,,,,,,,,,,,,24,3,4.000000e+000,8.221149e-003,0.000000e+000,0,,0,
1357828531.750,,1.000000e+003,3.994101e+000,1.673390e-002,7.512083e-006,3,9.946382e-001,4.489140e-002,,,,,,,,,,,,,,24,3,4.000000e+000,3.601789e-003,0.000000e+000,0,,0,
1357828668.890,,1.000000e+003,3.496600e+000,1.789497e-002,7.022002e-006,3,9.946366e-001,3.924009e-002,,,,,,,,,,,,,,24,3,4.000000e+000,4.997969e-003,0.000000e+000,0,,0,
1357828856.390,,1.000000e+003,2.999334e+000,1.910646e-002,1.485955e-005,3,9.946061e-001,7.777240e-002,,,,,,,,,,,,,,24,3,4.000000e+000,6.110668e-004,0.000000e+000,0,,0,
1357829063.250,,1.000000e+003,2.499730e+000,2.030645e-002,2.568004e-006,3,9.946327e-001,1.264625e-002,,,,,,,,,,,,,,24,3,4.000000e+000,1.473904e-003,0.000000e+000,0,,0,
1357829375.515,,1.000000e+003,1.996993e+000,2.156864e-002,1.822558e-005,3,9.938616e-001,8.450035e-002,,,,,,,,,,,,,,24,3,4.000000e+000,4.510999e-003,0.000000e+000,0,,0,
